"Date","Source","Site ID","POC","Daily Max 8-hour Ozone Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"10/29/2016","AQS","340070002","1","0.038","ppm","35","Camden Spruce Street","17","100.0000","44201","Ozone","37980","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","34","New Jersey","007","Camden","39.934559","-75.125219"
"10/30/2016","AQS","340070002","1","0.04","ppm","37","Camden Spruce Street","17","100.0000","44201","Ozone","37980","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","34","New Jersey","007","Camden","39.934559","-75.125219"
"10/31/2016","AQS","340070002","1","0.025","ppm","23","Camden Spruce Street","17","100.0000","44201","Ozone","37980","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","34","New Jersey","007","Camden","39.934559","-75.125219"
"11/01/2016","AQS","340070002","1","0.026","ppm","24","Camden Spruce Street","17","100.0000","44201","Ozone","37980","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","34","New Jersey","007","Camden","39.934559","-75.125219"
"11/02/2016","AQS","340070002","1","0.02","ppm","19","Camden Spruce Street","17","100.0000","44201","Ozone","37980","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","34","New Jersey","007","Camden","39.934559","-75.125219"
"11/03/2016","AQS","340070002","1","0.029","ppm","27","Camden Spruce Street","17","100.0000","44201","Ozone","37980","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","34","New Jersey","007","Camden","39.934559","-75.125219"
"11/04/2016","AQS","340070002","1","0.028","ppm","26","Camden Spruce Street","17","100.0000","44201","Ozone","37980","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","34","New Jersey","007","Camden","39.934559","-75.125219"
"11/05/2016","AQS","340070002","1","0.033","ppm","31","Camden Spruce Street","17","100.0000","44201","Ozone","37980","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","34","New Jersey","007","Camden","39.934559","-75.125219"
"11/06/2016","AQS","340070002","1","0.038","ppm","35","Camden Spruce Street","17","100.0000","44201","Ozone","37980","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","34","New Jersey","007","Camden","39.934559","-75.125219"
"11/07/2016","AQS","340070002","1","0.024","ppm","22","Camden Spruce Street","17","100.0000","44201","Ozone","37980","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","34","New Jersey","007","Camden","39.934559","-75.125219"
"11/08/2016","AQS","340070002","1","0.022","ppm","20","Camden Spruce Street","17","100.0000","44201","Ozone","37980","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","34","New Jersey","007","Camden","39.934559","-75.125219"
"11/09/2016","AQS","340070002","1","0.024","ppm","22","Camden Spruce Street","17","100.0000","44201","Ozone","37980","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","34","New Jersey","007","Camden","39.934559","-75.125219"
"11/10/2016","AQS","340070002","1","0.025","ppm","23","Camden Spruce Street","17","100.0000","44201","Ozone","37980","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","34","New Jersey","007","Camden","39.934559","-75.125219"
"11/11/2016","AQS","340070002","1","0.032","ppm","30","Camden Spruce Street","17","100.0000","44201","Ozone","37980","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","34","New Jersey","007","Camden","39.934559","-75.125219"
"11/12/2016","AQS","340070002","1","0.033","ppm","31","Camden Spruce Street","17","100.0000","44201","Ozone","37980","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","34","New Jersey","007","Camden","39.934559","-75.125219"
"11/13/2016","AQS","340070002","1","0.034","ppm","31","Camden Spruce Street","17","100.0000","44201","Ozone","37980","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","34","New Jersey","007","Camden","39.934559","-75.125219"
"11/14/2016","AQS","340070002","1","0.016","ppm","15","Camden Spruce Street","17","100.0000","44201","Ozone","37980","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","34","New Jersey","007","Camden","39.934559","-75.125219"
"11/15/2016","AQS","340070002","1","0.032","ppm","30","Camden Spruce Street","17","100.0000","44201","Ozone","37980","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","34","New Jersey","007","Camden","39.934559","-75.125219"
"11/17/2016","AQS","340070002","1","0.027","ppm","25","Camden Spruce Street","17","100.0000","44201","Ozone","37980","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","34","New Jersey","007","Camden","39.934559","-75.125219"
"11/18/2016","AQS","340070002","1","0.018","ppm","17","Camden Spruce Street","17","100.0000","44201","Ozone","37980","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","34","New Jersey","007","Camden","39.934559","-75.125219"
"11/19/2016","AQS","340070002","1","0.038","ppm","35","Camden Spruce Street","17","100.0000","44201","Ozone","37980","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","34","New Jersey","007","Camden","39.934559","-75.125219"
"11/20/2016","AQS","340070002","1","0.033","ppm","31","Camden Spruce Street","17","100.0000","44201","Ozone","37980","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","34","New Jersey","007","Camden","39.934559","-75.125219"
"11/21/2016","AQS","340070002","1","0.035","ppm","32","Camden Spruce Street","17","100.0000","44201","Ozone","37980","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","34","New Jersey","007","Camden","39.934559","-75.125219"
"11/22/2016","AQS","340070002","1","0.035","ppm","32","Camden Spruce Street","17","100.0000","44201","Ozone","37980","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","34","New Jersey","007","Camden","39.934559","-75.125219"
"11/23/2016","AQS","340070002","1","0.026","ppm","24","Camden Spruce Street","17","100.0000","44201","Ozone","37980","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","34","New Jersey","007","Camden","39.934559","-75.125219"
"11/24/2016","AQS","340070002","1","0.02","ppm","19","Camden Spruce Street","17","100.0000","44201","Ozone","37980","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","34","New Jersey","007","Camden","39.934559","-75.125219"
"11/25/2016","AQS","340070002","1","0.006","ppm","6","Camden Spruce Street","17","100.0000","44201","Ozone","37980","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","34","New Jersey","007","Camden","39.934559","-75.125219"
"11/26/2016","AQS","340070002","1","0.018","ppm","17","Camden Spruce Street","17","100.0000","44201","Ozone","37980","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","34","New Jersey","007","Camden","39.934559","-75.125219"
"11/27/2016","AQS","340070002","1","0.028","ppm","26","Camden Spruce Street","17","100.0000","44201","Ozone","37980","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","34","New Jersey","007","Camden","39.934559","-75.125219"
"11/28/2016","AQS","340070002","1","0.025","ppm","23","Camden Spruce Street","17","100.0000","44201","Ozone","37980","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","34","New Jersey","007","Camden","39.934559","-75.125219"
"11/29/2016","AQS","340070002","1","0.026","ppm","24","Camden Spruce Street","17","100.0000","44201","Ozone","37980","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","34","New Jersey","007","Camden","39.934559","-75.125219"
"11/30/2016","AQS","340070002","1","0.015","ppm","14","Camden Spruce Street","17","100.0000","44201","Ozone","37980","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","34","New Jersey","007","Camden","39.934559","-75.125219"
"12/01/2016","AQS","340070002","1","0.022","ppm","20","Camden Spruce Street","17","100.0000","44201","Ozone","37980","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","34","New Jersey","007","Camden","39.934559","-75.125219"
"12/02/2016","AQS","340070002","1","0.013","ppm","12","Camden Spruce Street","17","100.0000","44201","Ozone","37980","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","34","New Jersey","007","Camden","39.934559","-75.125219"
"12/03/2016","AQS","340070002","1","0.03","ppm","28","Camden Spruce Street","17","100.0000","44201","Ozone","37980","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","34","New Jersey","007","Camden","39.934559","-75.125219"
"12/04/2016","AQS","340070002","1","0.034","ppm","31","Camden Spruce Street","17","100.0000","44201","Ozone","37980","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","34","New Jersey","007","Camden","39.934559","-75.125219"
"12/05/2016","AQS","340070002","1","0.016","ppm","15","Camden Spruce Street","17","100.0000","44201","Ozone","37980","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","34","New Jersey","007","Camden","39.934559","-75.125219"
"12/06/2016","AQS","340070002","1","0.02","ppm","19","Camden Spruce Street","17","100.0000","44201","Ozone","37980","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","34","New Jersey","007","Camden","39.934559","-75.125219"
"12/07/2016","AQS","340070002","1","0.012","ppm","11","Camden Spruce Street","17","100.0000","44201","Ozone","37980","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","34","New Jersey","007","Camden","39.934559","-75.125219"
"12/08/2016","AQS","340070002","1","0.019","ppm","18","Camden Spruce Street","17","100.0000","44201","Ozone","37980","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","34","New Jersey","007","Camden","39.934559","-75.125219"
"12/09/2016","AQS","340070002","1","0.02","ppm","19","Camden Spruce Street","17","100.0000","44201","Ozone","37980","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","34","New Jersey","007","Camden","39.934559","-75.125219"
"12/10/2016","AQS","340070002","1","0.024","ppm","22","Camden Spruce Street","17","100.0000","44201","Ozone","37980","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","34","New Jersey","007","Camden","39.934559","-75.125219"
"12/11/2016","AQS","340070002","1","0.02","ppm","19","Camden Spruce Street","17","100.0000","44201","Ozone","37980","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","34","New Jersey","007","Camden","39.934559","-75.125219"
"12/12/2016","AQS","340070002","1","0.021","ppm","19","Camden Spruce Street","17","100.0000","44201","Ozone","37980","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","34","New Jersey","007","Camden","39.934559","-75.125219"
"12/13/2016","AQS","340070002","1","0.013","ppm","12","Camden Spruce Street","17","100.0000","44201","Ozone","37980","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","34","New Jersey","007","Camden","39.934559","-75.125219"
"12/14/2016","AQS","340070002","1","0.024","ppm","22","Camden Spruce Street","17","100.0000","44201","Ozone","37980","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","34","New Jersey","007","Camden","39.934559","-75.125219"
