"Date","Source","Site ID","POC","Daily Max 8-hour CO Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"01/29/2007","AQS","340030004","1","0.5","ppm","6","FORT LEE","24","100.0000","42101","Carbon monoxide","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.854583","-73.967772"
"01/30/2007","AQS","340030004","1","0.6","ppm","7","FORT LEE","24","100.0000","42101","Carbon monoxide","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.854583","-73.967772"
"01/31/2007","AQS","340030004","1","0.5","ppm","6","FORT LEE","24","100.0000","42101","Carbon monoxide","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.854583","-73.967772"
"02/01/2007","AQS","340030004","1","0.5","ppm","6","FORT LEE","24","100.0000","42101","Carbon monoxide","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.854583","-73.967772"
"02/02/2007","AQS","340030004","1","1.1","ppm","13","FORT LEE","24","100.0000","42101","Carbon monoxide","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.854583","-73.967772"
"02/03/2007","AQS","340030004","1","0.9","ppm","10","FORT LEE","24","100.0000","42101","Carbon monoxide","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.854583","-73.967772"
"02/04/2007","AQS","340030004","1","0.5","ppm","6","FORT LEE","24","100.0000","42101","Carbon monoxide","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.854583","-73.967772"
"02/05/2007","AQS","340030004","1","0.3","ppm","3","FORT LEE","24","100.0000","42101","Carbon monoxide","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.854583","-73.967772"
"02/06/2007","AQS","340030004","1","0.4","ppm","5","FORT LEE","24","100.0000","42101","Carbon monoxide","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.854583","-73.967772"
"02/07/2007","AQS","340030004","1","0.6","ppm","7","FORT LEE","24","100.0000","42101","Carbon monoxide","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.854583","-73.967772"
