"Date","Source","Site ID","POC","Daily Mean PM2.5 Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"01/01/2012","AQS","340010006","1","7.1","ug/m3 LC","30","Brigantine","1","100.0000","88101","PM2.5 - Local Conditions","12100","Atlantic City-Hammonton, NJ","34","New Jersey","001","Atlantic","39.464872","-74.448736"
"01/04/2012","AQS","340010006","1","4.8","ug/m3 LC","20","Brigantine","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","12100","Atlantic City-Hammonton, NJ","34","New Jersey","001","Atlantic","39.464872","-74.448736"
"01/07/2012","AQS","340010006","1","9.2","ug/m3 LC","38","Brigantine","1","100.0000","88101","PM2.5 - Local Conditions","12100","Atlantic City-Hammonton, NJ","34","New Jersey","001","Atlantic","39.464872","-74.448736"
"01/10/2012","AQS","340010006","1","11","ug/m3 LC","46","Brigantine","1","100.0000","88101","PM2.5 - Local Conditions","12100","Atlantic City-Hammonton, NJ","34","New Jersey","001","Atlantic","39.464872","-74.448736"
"01/13/2012","AQS","340010006","1","4.3","ug/m3 LC","18","Brigantine","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","12100","Atlantic City-Hammonton, NJ","34","New Jersey","001","Atlantic","39.464872","-74.448736"
"01/16/2012","AQS","340010006","1","4","ug/m3 LC","17","Brigantine","1","100.0000","88101","PM2.5 - Local Conditions","12100","Atlantic City-Hammonton, NJ","34","New Jersey","001","Atlantic","39.464872","-74.448736"
"01/19/2012","AQS","340010006","1","3.7","ug/m3 LC","15","Brigantine","1","100.0000","88101","PM2.5 - Local Conditions","12100","Atlantic City-Hammonton, NJ","34","New Jersey","001","Atlantic","39.464872","-74.448736"
"01/22/2012","AQS","340010006","1","5.6","ug/m3 LC","23","Brigantine","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","12100","Atlantic City-Hammonton, NJ","34","New Jersey","001","Atlantic","39.464872","-74.448736"
"01/25/2012","AQS","340010006","1","11.2","ug/m3 LC","47","Brigantine","1","100.0000","88101","PM2.5 - Local Conditions","12100","Atlantic City-Hammonton, NJ","34","New Jersey","001","Atlantic","39.464872","-74.448736"
"01/28/2012","AQS","340010006","1","3.9","ug/m3 LC","16","Brigantine","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","12100","Atlantic City-Hammonton, NJ","34","New Jersey","001","Atlantic","39.464872","-74.448736"
"01/31/2012","AQS","340010006","1","9.9","ug/m3 LC","41","Brigantine","1","100.0000","88101","PM2.5 - Local Conditions","12100","Atlantic City-Hammonton, NJ","34","New Jersey","001","Atlantic","39.464872","-74.448736"
"02/03/2012","AQS","340010006","1","7.7","ug/m3 LC","32","Brigantine","1","100.0000","88101","PM2.5 - Local Conditions","12100","Atlantic City-Hammonton, NJ","34","New Jersey","001","Atlantic","39.464872","-74.448736"
"02/06/2012","AQS","340010006","1","7.9","ug/m3 LC","33","Brigantine","1","100.0000","88101","PM2.5 - Local Conditions","12100","Atlantic City-Hammonton, NJ","34","New Jersey","001","Atlantic","39.464872","-74.448736"
"02/09/2012","AQS","340010006","1","8.8","ug/m3 LC","37","Brigantine","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","12100","Atlantic City-Hammonton, NJ","34","New Jersey","001","Atlantic","39.464872","-74.448736"
"02/12/2012","AQS","340010006","1","4.7","ug/m3 LC","20","Brigantine","1","100.0000","88101","PM2.5 - Local Conditions","12100","Atlantic City-Hammonton, NJ","34","New Jersey","001","Atlantic","39.464872","-74.448736"
"02/15/2012","AQS","340010006","1","8.2","ug/m3 LC","34","Brigantine","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","12100","Atlantic City-Hammonton, NJ","34","New Jersey","001","Atlantic","39.464872","-74.448736"
"02/18/2012","AQS","340010006","1","8.7","ug/m3 LC","36","Brigantine","1","100.0000","88101","PM2.5 - Local Conditions","12100","Atlantic City-Hammonton, NJ","34","New Jersey","001","Atlantic","39.464872","-74.448736"
"02/21/2012","AQS","340010006","1","4.3","ug/m3 LC","18","Brigantine","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","12100","Atlantic City-Hammonton, NJ","34","New Jersey","001","Atlantic","39.464872","-74.448736"
"02/24/2012","AQS","340010006","1","8.4","ug/m3 LC","35","Brigantine","1","100.0000","88101","PM2.5 - Local Conditions","12100","Atlantic City-Hammonton, NJ","34","New Jersey","001","Atlantic","39.464872","-74.448736"
"02/27/2012","AQS","340010006","1","7.8","ug/m3 LC","33","Brigantine","1","100.0000","88101","PM2.5 - Local Conditions","12100","Atlantic City-Hammonton, NJ","34","New Jersey","001","Atlantic","39.464872","-74.448736"
"03/01/2012","AQS","340010006","1","4.8","ug/m3 LC","20","Brigantine","1","100.0000","88101","PM2.5 - Local Conditions","12100","Atlantic City-Hammonton, NJ","34","New Jersey","001","Atlantic","39.464872","-74.448736"
"03/04/2012","AQS","340010006","1","5.5","ug/m3 LC","23","Brigantine","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","12100","Atlantic City-Hammonton, NJ","34","New Jersey","001","Atlantic","39.464872","-74.448736"
"03/07/2012","AQS","340010006","1","6.8","ug/m3 LC","28","Brigantine","1","100.0000","88101","PM2.5 - Local Conditions","12100","Atlantic City-Hammonton, NJ","34","New Jersey","001","Atlantic","39.464872","-74.448736"
"03/10/2012","AQS","340010006","1","3.9","ug/m3 LC","16","Brigantine","1","100.0000","88101","PM2.5 - Local Conditions","12100","Atlantic City-Hammonton, NJ","34","New Jersey","001","Atlantic","39.464872","-74.448736"
