"Date","Source","Site ID","POC","Daily Max 1-hour NO2 Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"01/01/2021","AQS","340030010","1","18","ppb","17","Fort Lee Near Road","24","100.0000","42602","Nitrogen dioxide (NO2)","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.85355","-73.96618"
"01/02/2021","AQS","340030010","1","23.3","ppb","22","Fort Lee Near Road","24","100.0000","42602","Nitrogen dioxide (NO2)","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.85355","-73.96618"
"01/03/2021","AQS","340030010","1","13.1","ppb","12","Fort Lee Near Road","21","88.0000","42602","Nitrogen dioxide (NO2)","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.85355","-73.96618"
"01/04/2021","AQS","340030010","1","25.4","ppb","24","Fort Lee Near Road","23","96.0000","42602","Nitrogen dioxide (NO2)","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.85355","-73.96618"
"01/05/2021","AQS","340030010","1","22.3","ppb","21","Fort Lee Near Road","24","100.0000","42602","Nitrogen dioxide (NO2)","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.85355","-73.96618"
"01/06/2021","AQS","340030010","1","30.7","ppb","28","Fort Lee Near Road","24","100.0000","42602","Nitrogen dioxide (NO2)","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.85355","-73.96618"
"01/07/2021","AQS","340030010","1","33.4","ppb","31","Fort Lee Near Road","24","100.0000","42602","Nitrogen dioxide (NO2)","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.85355","-73.96618"
"01/08/2021","AQS","340030010","1","30.6","ppb","28","Fort Lee Near Road","24","100.0000","42602","Nitrogen dioxide (NO2)","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.85355","-73.96618"
"01/09/2021","AQS","340030010","1","25.5","ppb","24","Fort Lee Near Road","24","100.0000","42602","Nitrogen dioxide (NO2)","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.85355","-73.96618"
"01/10/2021","AQS","340030010","1","28.3","ppb","26","Fort Lee Near Road","21","88.0000","42602","Nitrogen dioxide (NO2)","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.85355","-73.96618"
"01/11/2021","AQS","340030010","1","50.3","ppb","47","Fort Lee Near Road","24","100.0000","42602","Nitrogen dioxide (NO2)","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.85355","-73.96618"
"01/12/2021","AQS","340030010","1","54.8","ppb","51","Fort Lee Near Road","24","100.0000","42602","Nitrogen dioxide (NO2)","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.85355","-73.96618"
