"Date","Source","Site ID","POC","Daily Max 1-hour NO2 Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"06/05/2012","AQS","340070002","1","23","ppb","22","Camden Spruce Street","24","100.0000","42602","Nitrogen dioxide (NO2)","37980","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","34","New Jersey","007","Camden","39.934559","-75.125219"
"06/06/2012","AQS","340070002","1","28","ppb","26","Camden Spruce Street","24","100.0000","42602","Nitrogen dioxide (NO2)","37980","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","34","New Jersey","007","Camden","39.934559","-75.125219"
"06/07/2012","AQS","340070002","1","26","ppb","25","Camden Spruce Street","24","100.0000","42602","Nitrogen dioxide (NO2)","37980","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","34","New Jersey","007","Camden","39.934559","-75.125219"
"06/08/2012","AQS","340070002","1","23","ppb","22","Camden Spruce Street","24","100.0000","42602","Nitrogen dioxide (NO2)","37980","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","34","New Jersey","007","Camden","39.934559","-75.125219"
"06/09/2012","AQS","340070002","1","22","ppb","21","Camden Spruce Street","24","100.0000","42602","Nitrogen dioxide (NO2)","37980","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","34","New Jersey","007","Camden","39.934559","-75.125219"
"06/10/2012","AQS","340070002","1","19","ppb","18","Camden Spruce Street","21","88.0000","42602","Nitrogen dioxide (NO2)","37980","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","34","New Jersey","007","Camden","39.934559","-75.125219"
"06/11/2012","AQS","340070002","1","8","ppb","8","Camden Spruce Street","24","100.0000","42602","Nitrogen dioxide (NO2)","37980","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","34","New Jersey","007","Camden","39.934559","-75.125219"
"06/12/2012","AQS","340070002","1","13","ppb","12","Camden Spruce Street","24","100.0000","42602","Nitrogen dioxide (NO2)","37980","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","34","New Jersey","007","Camden","39.934559","-75.125219"
"06/13/2012","AQS","340070002","1","9","ppb","8","Camden Spruce Street","24","100.0000","42602","Nitrogen dioxide (NO2)","37980","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","34","New Jersey","007","Camden","39.934559","-75.125219"
"06/14/2012","AQS","340070002","1","12","ppb","11","Camden Spruce Street","24","100.0000","42602","Nitrogen dioxide (NO2)","37980","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","34","New Jersey","007","Camden","39.934559","-75.125219"
"06/15/2012","AQS","340070002","1","17","ppb","16","Camden Spruce Street","24","100.0000","42602","Nitrogen dioxide (NO2)","37980","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","34","New Jersey","007","Camden","39.934559","-75.125219"
"06/16/2012","AQS","340070002","1","13","ppb","12","Camden Spruce Street","24","100.0000","42602","Nitrogen dioxide (NO2)","37980","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","34","New Jersey","007","Camden","39.934559","-75.125219"
"06/17/2012","AQS","340070002","1","3","ppb","3","Camden Spruce Street","21","88.0000","42602","Nitrogen dioxide (NO2)","37980","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","34","New Jersey","007","Camden","39.934559","-75.125219"
"06/18/2012","AQS","340070002","1","11","ppb","10","Camden Spruce Street","24","100.0000","42602","Nitrogen dioxide (NO2)","37980","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","34","New Jersey","007","Camden","39.934559","-75.125219"
"06/19/2012","AQS","340070002","1","23","ppb","22","Camden Spruce Street","20","83.0000","42602","Nitrogen dioxide (NO2)","37980","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","34","New Jersey","007","Camden","39.934559","-75.125219"
"06/20/2012","AQS","340070002","1","27","ppb","25","Camden Spruce Street","24","100.0000","42602","Nitrogen dioxide (NO2)","37980","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","34","New Jersey","007","Camden","39.934559","-75.125219"
"06/21/2012","AQS","340070002","1","24","ppb","23","Camden Spruce Street","24","100.0000","42602","Nitrogen dioxide (NO2)","37980","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","34","New Jersey","007","Camden","39.934559","-75.125219"
"06/22/2012","AQS","340070002","1","43","ppb","41","Camden Spruce Street","24","100.0000","42602","Nitrogen dioxide (NO2)","37980","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","34","New Jersey","007","Camden","39.934559","-75.125219"
"06/23/2012","AQS","340070002","1","18","ppb","17","Camden Spruce Street","24","100.0000","42602","Nitrogen dioxide (NO2)","37980","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","34","New Jersey","007","Camden","39.934559","-75.125219"
"06/24/2012","AQS","340070002","1","14","ppb","13","Camden Spruce Street","24","100.0000","42602","Nitrogen dioxide (NO2)","37980","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","34","New Jersey","007","Camden","39.934559","-75.125219"
"06/25/2012","AQS","340070002","1","22","ppb","21","Camden Spruce Street","24","100.0000","42602","Nitrogen dioxide (NO2)","37980","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","34","New Jersey","007","Camden","39.934559","-75.125219"
"06/26/2012","AQS","340070002","1","18","ppb","17","Camden Spruce Street","22","92.0000","42602","Nitrogen dioxide (NO2)","37980","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","34","New Jersey","007","Camden","39.934559","-75.125219"
"06/27/2012","AQS","340070002","1","20","ppb","19","Camden Spruce Street","24","100.0000","42602","Nitrogen dioxide (NO2)","37980","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","34","New Jersey","007","Camden","39.934559","-75.125219"
"06/28/2012","AQS","340070002","1","27","ppb","25","Camden Spruce Street","24","100.0000","42602","Nitrogen dioxide (NO2)","37980","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","34","New Jersey","007","Camden","39.934559","-75.125219"
"06/29/2012","AQS","340070002","1","32","ppb","30","Camden Spruce Street","24","100.0000","42602","Nitrogen dioxide (NO2)","37980","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","34","New Jersey","007","Camden","39.934559","-75.125219"
"06/30/2012","AQS","340070002","1","10","ppb","9","Camden Spruce Street","24","100.0000","42602","Nitrogen dioxide (NO2)","37980","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","34","New Jersey","007","Camden","39.934559","-75.125219"
"07/01/2012","AQS","340070002","1","20","ppb","19","Camden Spruce Street","24","100.0000","42602","Nitrogen dioxide (NO2)","37980","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","34","New Jersey","007","Camden","39.934559","-75.125219"
