"Date","Source","Site ID","POC","Daily Mean PM10 Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"01/01/2008","AQS","340011006","1","13","ug/m3 SC","12","Atlantic City","1","100.0000","81102","PM10 Total 0-10um STP","12100","Atlantic City-Hammonton, NJ","34","New Jersey","001","Atlantic","39.36326","-74.431"
"01/07/2008","AQS","340011006","1","17","ug/m3 SC","16","Atlantic City","1","100.0000","81102","PM10 Total 0-10um STP","12100","Atlantic City-Hammonton, NJ","34","New Jersey","001","Atlantic","39.36326","-74.431"
"01/13/2008","AQS","340011006","1","12","ug/m3 SC","11","Atlantic City","1","100.0000","81102","PM10 Total 0-10um STP","12100","Atlantic City-Hammonton, NJ","34","New Jersey","001","Atlantic","39.36326","-74.431"
"01/19/2008","AQS","340011006","1","12","ug/m3 SC","11","Atlantic City","1","100.0000","81102","PM10 Total 0-10um STP","12100","Atlantic City-Hammonton, NJ","34","New Jersey","001","Atlantic","39.36326","-74.431"
"01/25/2008","AQS","340011006","1","17","ug/m3 SC","16","Atlantic City","1","100.0000","81102","PM10 Total 0-10um STP","12100","Atlantic City-Hammonton, NJ","34","New Jersey","001","Atlantic","39.36326","-74.431"
"01/31/2008","AQS","340011006","1","13","ug/m3 SC","12","Atlantic City","1","100.0000","81102","PM10 Total 0-10um STP","12100","Atlantic City-Hammonton, NJ","34","New Jersey","001","Atlantic","39.36326","-74.431"
"02/06/2008","AQS","340011006","1","24","ug/m3 SC","22","Atlantic City","1","100.0000","81102","PM10 Total 0-10um STP","12100","Atlantic City-Hammonton, NJ","34","New Jersey","001","Atlantic","39.36326","-74.431"
"02/12/2008","AQS","340011006","1","8","ug/m3 SC","7","Atlantic City","1","100.0000","81102","PM10 Total 0-10um STP","12100","Atlantic City-Hammonton, NJ","34","New Jersey","001","Atlantic","39.36326","-74.431"
"02/18/2008","AQS","340011006","1","10","ug/m3 SC","9","Atlantic City","1","100.0000","81102","PM10 Total 0-10um STP","12100","Atlantic City-Hammonton, NJ","34","New Jersey","001","Atlantic","39.36326","-74.431"
"02/24/2008","AQS","340011006","1","14","ug/m3 SC","13","Atlantic City","1","100.0000","81102","PM10 Total 0-10um STP","12100","Atlantic City-Hammonton, NJ","34","New Jersey","001","Atlantic","39.36326","-74.431"
"03/01/2008","AQS","340011006","1","15","ug/m3 SC","14","Atlantic City","1","100.0000","81102","PM10 Total 0-10um STP","12100","Atlantic City-Hammonton, NJ","34","New Jersey","001","Atlantic","39.36326","-74.431"
"03/13/2008","AQS","340011006","1","19","ug/m3 SC","18","Atlantic City","1","100.0000","81102","PM10 Total 0-10um STP","12100","Atlantic City-Hammonton, NJ","34","New Jersey","001","Atlantic","39.36326","-74.431"
"03/25/2008","AQS","340011006","1","38","ug/m3 SC","35","Atlantic City","1","100.0000","81102","PM10 Total 0-10um STP","12100","Atlantic City-Hammonton, NJ","34","New Jersey","001","Atlantic","39.36326","-74.431"
"03/31/2008","AQS","340011006","1","25","ug/m3 SC","23","Atlantic City","1","100.0000","81102","PM10 Total 0-10um STP","12100","Atlantic City-Hammonton, NJ","34","New Jersey","001","Atlantic","39.36326","-74.431"
"04/06/2008","AQS","340011006","1","14","ug/m3 SC","13","Atlantic City","1","100.0000","81102","PM10 Total 0-10um STP","12100","Atlantic City-Hammonton, NJ","34","New Jersey","001","Atlantic","39.36326","-74.431"
"04/18/2008","AQS","340011006","1","46","ug/m3 SC","43","Atlantic City","1","100.0000","81102","PM10 Total 0-10um STP","12100","Atlantic City-Hammonton, NJ","34","New Jersey","001","Atlantic","39.36326","-74.431"
"04/24/2008","AQS","340011006","1","39","ug/m3 SC","36","Atlantic City","1","100.0000","81102","PM10 Total 0-10um STP","12100","Atlantic City-Hammonton, NJ","34","New Jersey","001","Atlantic","39.36326","-74.431"
"04/30/2008","AQS","340011006","1","28","ug/m3 SC","26","Atlantic City","1","100.0000","81102","PM10 Total 0-10um STP","12100","Atlantic City-Hammonton, NJ","34","New Jersey","001","Atlantic","39.36326","-74.431"
"05/06/2008","AQS","340011006","1","33","ug/m3 SC","31","Atlantic City","1","100.0000","81102","PM10 Total 0-10um STP","12100","Atlantic City-Hammonton, NJ","34","New Jersey","001","Atlantic","39.36326","-74.431"
"06/05/2008","AQS","340011006","1","21","ug/m3 SC","19","Atlantic City","1","100.0000","81102","PM10 Total 0-10um STP","12100","Atlantic City-Hammonton, NJ","34","New Jersey","001","Atlantic","39.36326","-74.431"
"06/11/2008","AQS","340011006","1","34","ug/m3 SC","31","Atlantic City","1","100.0000","81102","PM10 Total 0-10um STP","12100","Atlantic City-Hammonton, NJ","34","New Jersey","001","Atlantic","39.36326","-74.431"
"06/17/2008","AQS","340011006","1","25","ug/m3 SC","23","Atlantic City","1","100.0000","81102","PM10 Total 0-10um STP","12100","Atlantic City-Hammonton, NJ","34","New Jersey","001","Atlantic","39.36326","-74.431"
"06/23/2008","AQS","340011006","1","41","ug/m3 SC","38","Atlantic City","1","100.0000","81102","PM10 Total 0-10um STP","12100","Atlantic City-Hammonton, NJ","34","New Jersey","001","Atlantic","39.36326","-74.431"
"06/29/2008","AQS","340011006","1","60","ug/m3 SC","53","Atlantic City","1","100.0000","81102","PM10 Total 0-10um STP","12100","Atlantic City-Hammonton, NJ","34","New Jersey","001","Atlantic","39.36326","-74.431"
"07/05/2008","AQS","340011006","1","42","ug/m3 SC","39","Atlantic City","1","100.0000","81102","PM10 Total 0-10um STP","12100","Atlantic City-Hammonton, NJ","34","New Jersey","001","Atlantic","39.36326","-74.431"
"07/11/2008","AQS","340011006","1","24","ug/m3 SC","22","Atlantic City","1","100.0000","81102","PM10 Total 0-10um STP","12100","Atlantic City-Hammonton, NJ","34","New Jersey","001","Atlantic","39.36326","-74.431"
"07/17/2008","AQS","340011006","1","81","ug/m3 SC","64","Atlantic City","1","100.0000","81102","PM10 Total 0-10um STP","12100","Atlantic City-Hammonton, NJ","34","New Jersey","001","Atlantic","39.36326","-74.431"
"07/23/2008","AQS","340011006","1","37","ug/m3 SC","34","Atlantic City","1","100.0000","81102","PM10 Total 0-10um STP","12100","Atlantic City-Hammonton, NJ","34","New Jersey","001","Atlantic","39.36326","-74.431"
"07/29/2008","AQS","340011006","1","39","ug/m3 SC","36","Atlantic City","1","100.0000","81102","PM10 Total 0-10um STP","12100","Atlantic City-Hammonton, NJ","34","New Jersey","001","Atlantic","39.36326","-74.431"
"08/04/2008","AQS","340011006","1","74","ug/m3 SC","60","Atlantic City","1","100.0000","81102","PM10 Total 0-10um STP","12100","Atlantic City-Hammonton, NJ","34","New Jersey","001","Atlantic","39.36326","-74.431"
"08/16/2008","AQS","340011006","1","14","ug/m3 SC","13","Atlantic City","1","100.0000","81102","PM10 Total 0-10um STP","12100","Atlantic City-Hammonton, NJ","34","New Jersey","001","Atlantic","39.36326","-74.431"
"08/22/2008","AQS","340011006","1","34","ug/m3 SC","31","Atlantic City","1","100.0000","81102","PM10 Total 0-10um STP","12100","Atlantic City-Hammonton, NJ","34","New Jersey","001","Atlantic","39.36326","-74.431"
"08/28/2008","AQS","340011006","1","67","ug/m3 SC","57","Atlantic City","1","100.0000","81102","PM10 Total 0-10um STP","12100","Atlantic City-Hammonton, NJ","34","New Jersey","001","Atlantic","39.36326","-74.431"
"09/03/2008","AQS","340011006","1","75","ug/m3 SC","61","Atlantic City","1","100.0000","81102","PM10 Total 0-10um STP","12100","Atlantic City-Hammonton, NJ","34","New Jersey","001","Atlantic","39.36326","-74.431"
